birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
,,Frederico Ferreira Silva,,http://www.atpworldtour.com/en/players/frederico-ferreira-silva/sn54/overview,POR,,1995.03.18,249,253,"Left-Handed, Two-Handed Backhand",29,207
,,Tomas Lipovsek Puches,,http://www.atpworldtour.com/en/players/tomas-lipovsek-puches/lc58/overview,ARG,,1993.04.17,250,261,,29,207
Nambour,"Right-Handed, Two-Handed Backhand",Gavin Van Peperzeel,163,http://www.atpworldtour.com/en/players/gavin-van-peperzeel/v784/overview,AUS,180,1992.03.29,251,254,"Bribie Island, Queensland, AUS",31,207
,,Marko Tepavac,198,http://www.atpworldtour.com/en/players/marko-tepavac/tc11/overview,SRB,193,1994.04.05,252,256,"Right-Handed, Two-Handed Backhand",24,204
"Guayaquil, Ecuador",Right-Handed,Giovanni Lapentti,201,http://www.atpworldtour.com/en/players/giovanni-lapentti/l430/overview,ECU,193,1983.01.25,253,243,"Guayaquil/Miami, Florida, USA",26,204
"Cali, Colombia","Right-Handed, Two-Handed Backhand",Nicolas Barrientos,165,http://www.atpworldtour.com/en/players/nicolas-barrientos/bc76/overview,COL,175,1987.04.24,254,293,"Cali, Colombia",29,204
Santo Domingo,"Right-Handed, Two-Handed Backhand",Jose Hernandez-Fernandez,170,http://www.atpworldtour.com/en/players/jose-hernandez-fernandez/h896/overview,DOM,183,1990.03.13,255,247,Santo Domingo,24,203
,,Oriol Roca Batalla,,http://www.atpworldtour.com/en/players/oriol-roca-batalla/rb60/overview,ESP,,1993.04.30,256,255,,28,203
"Oberpullendorf, Austria",Right-Handed,Michael Linzer,168,http://www.atpworldtour.com/en/players/michael-linzer/l941/overview,AUT,183,1989.11.02,257,266,"Bad Erlach, Austria",28,202
,,David Perez Sanz,,http://www.atpworldtour.com/en/players/david-perez-sanz/pf36/overview,ESP,,1994.05.15,258,258,,30,202
"Avola, Italy","Right-Handed, Two-Handed Backhand",Salvatore Caruso,172,http://www.atpworldtour.com/en/players/salvatore-caruso/ce25/overview,ITA,,1992.12.15,259,240,"Avola, Italy",23,200
"Los Angeles, CA, USA","Right-Handed, Two-Handed Backhand",Ernesto Escobedo,180,http://www.atpworldtour.com/en/players/ernesto-escobedo/e873/overview,USA,185,1996.07.04,260,335,"West Covina, CA, USA",19,198
"Gallatin, TN, USA",Right-Handed,Tennys Sandgren,190,http://www.atpworldtour.com/en/players/tennys-sandgren/sl08/overview,USA,188,1991.07.22,261,271,"Gallatin, TN, USA",23,198
,,Lorenzo Giustino,,http://www.atpworldtour.com/en/players/lorenzo-giustino/ga79/overview,ITA,,1991.09.10,262,249,,25,198
"Charenton-Le-Pont, France","Right-Handed, Two-Handed Backhand",Gregoire Barrere,183,http://www.atpworldtour.com/en/players/gregoire-barrere/bk24/overview,FRA,183,1994.02.16,263,264,Saint Maur Des Fosses,24,195
,,Steven Diez,,http://www.atpworldtour.com/en/players/steven-diez/d916/overview,CAN,,1991.03.17,264,265,,28,195
"Moscow, Russia",Right-Handed,Daniil Medvedev,176,http://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview,RUS,198,1996.02.11,265,260,"Antibes, France",23,194
Portschach am Worthersee,"Right-Handed, One-Handed Backhand",Bastian Trinker,183,http://www.atpworldtour.com/en/players/bastian-trinker/t984/overview,AUT,191,1990.05.11,266,267,Portschach am Woerthersee,28,192
"Bayreuth, Germany","Right-Handed, Two-Handed Backhand",Florian Mayer,180,http://www.atpworldtour.com/en/players/florian-mayer/mb02/overview,GER,191,1983.10.05,267,268,"Bayreuth, Germany",11,191
Tashkent,Right-Handed,Gleb Sakharov,172,http://www.atpworldtour.com/en/players/gleb-sakharov/sj22/overview,FRA,185,1988.06.10,268,270,Nantes,21,191
"Rio Gallegos, Argentina","Left-Handed, Two-Handed Backhand",Maximiliano Estevez,181,http://www.atpworldtour.com/en/players/maximiliano-estevez/e708/overview,ARG,191,1989.05.18,269,276,"Buenos Aires, Argentina",29,191
El Mansoura,Right-Handed,Mohamed Safwat,163,http://www.atpworldtour.com/en/players/mohamed-safwat/sk47/overview,EGY,183,1990.09.19,270,272,Ciaro,23,190
"St. Germains en Layes, France","Left-Handed, Two-Handed Backhand",Jonathan Eysseric,176,http://www.atpworldtour.com/en/players/jonathan-eysseric/e678/overview,FRA,180,1990.05.27,271,273,"Grasse, France",26,189
"Hsinchu, Taiwan",Right-Handed,Tsung-Hua Yang,176,http://www.atpworldtour.com/en/players/tsung-hua-yang/t982/overview,TPE,178,1991.03.29,272,262,"Hsinchu, Taiwan",19,188
"Prague, Czech Republic","Left-Handed, Two-Handed Backhand",Robin Stanek,165,http://www.atpworldtour.com/en/players/robin-stanek/so86/overview,CZE,188,1995.01.03,273,274,"Prague, Czech Republic",26,187
"Fort Worth, TX, USA","Right-Handed, Two-Handed Backhand",Mitchell Krueger,170,http://www.atpworldtour.com/en/players/mitchell-krueger/kc12/overview,USA,188,1994.01.12,274,259,"Boca Raton, FL, USA",27,186
"Bridgetown, Barbados","Right-Handed, Two-Handed Backhand",Darian King,170,http://www.atpworldtour.com/en/players/darian-king/kc86/overview,BAR,185,1992.04.26,275,257,"Bridgetown, Barbados",19,184
,,Constant Lestienne,,http://www.atpworldtour.com/en/players/constant-lestienne/lb66/overview,FRA,,1992.05.23,276,278,"Right-Handed, Two-Handed Backhand",24,184
Tbilisi,"Right-Handed, Two-Handed Backhand",Aleksandre Metreveli,172,http://www.atpworldtour.com/en/players/aleksandre-metreveli/mn23/overview,GEO,183,1993.08.10,277,277,Georgia,24,184
"Mogi Guacu, Brazil",Right-Handed,Caio Zampieri,174,http://www.atpworldtour.com/en/players/caio-zampieri/z198/overview,BRA,183,1986.05.27,278,287,"Sao Paulo, Brazil",21,183
"Mestre-Venice, Italy","Right-Handed, Two-Handed Backhand",Matteo Viola,176,http://www.atpworldtour.com/en/players/matteo-viola/v490/overview,ITA,188,1987.07.07,279,275,"Marghera-Venice, Italy",29,182
,,Alexey Vatutin,,http://www.atpworldtour.com/en/players/alexey-vatutin/v717/overview,RUS,,1992.10.27,280,280,,29,180
,,Ivan Nedelko,,http://www.atpworldtour.com/en/players/ivan-nedelko/n561/overview,RUS,,1986.05.12,281,281,,35,180
,,Joris De Loore,,http://www.atpworldtour.com/en/players/joris-de-loore/da86/overview,BEL,,1993.04.21,282,289,,21,178
"Cernusco sul Naviglio, Italy",Right-Handed,Alessandro Bega,154,http://www.atpworldtour.com/en/players/alessandro-bega/bf98/overview,ITA,173,1991.01.11,283,283,Milan,29,178
"Prague, Czech Republic",Right-Handed,Jan Hernych,183,http://www.atpworldtour.com/en/players/jan-hernych/h442/overview,CZE,191,1979.07.07,284,286,"Prague, Czech Republic",12,177
,,Maximilian Marterer,,http://www.atpworldtour.com/en/players/maximilian-marterer/mn13/overview,GER,,1995.06.15,285,284,Left-Handed,21,177
"Usti Nad Labem, Czech Republic","Right-Handed, Two-Handed Backhand",Jan Mertl,183,http://www.atpworldtour.com/en/players/jan-mertl/ma38/overview,CZE,191,1982.01.03,286,285,"Prague, Czech Republic",29,176
"Bradenton, Florida, USA","Right-Handed, Two-Handed Backhand",Sekou Bangoura,170,http://www.atpworldtour.com/en/players/sekou-bangoura/bh02/overview,USA,183,1991.11.18,287,288,"Bradenton, Florida, USA",31,175
"Stockport, England","Left-Handed, Two-Handed Backhand",Liam Broady,172,http://www.atpworldtour.com/en/players/liam-broady/bi23/overview,GBR,183,1994.01.04,288,279,"Stockport, England",27,173
,,Gerard Granollers,,http://www.atpworldtour.com/en/players/gerard-granollers/g922/overview,ESP,,1989.01.30,289,291,,30,171
"Minsk, Belarus","Right-Handed, Two-Handed Backhand",Ilya Ivashka,181,http://www.atpworldtour.com/en/players/ilya-ivashka/i305/overview,BLR,193,1994.02.24,290,323,"Minsk, Belarus",21,170
"Ljubljana, Slovenia","Right-Handed, Two-Handed Backhand",Blaz Kavcic,172,http://www.atpworldtour.com/en/players/blaz-kavcic/k834/overview,SLO,188,1987.03.05,291,294,"Dubai, U.A.E.",18,168
,,Juan Ignacio Londero,,http://www.atpworldtour.com/en/players/juan-ignacio-londero/lb84/overview,ARG,,1993.08.15,292,305,"Right-Handed, Two-Handed Backhand",15,168
"Madrid, Spain","Right-Handed, Two-Handed Backhand",Pablo Vivero Gonzalez,174,http://www.atpworldtour.com/en/players/pablo-vivero-gonzalez/v886/overview,ESP,193,1995.04.26,293,295,"Madrid, Spain",21,168
,,Yannik Reuter,,http://www.atpworldtour.com/en/players/yannik-reuter/ra82/overview,BEL,,1991.03.06,294,298,,22,167
Northampton,"Right-Handed, Two-Handed Backhand",Alexander Ward,192,http://www.atpworldtour.com/en/players/alexander-ward/w579/overview,GBR,185,1990.04.30,295,296,"Barcelona, Spain",28,167
"Vysoke Myto, Czech Republic","Left-Handed, Two-Handed Backhand",Michal Konecny,172,http://www.atpworldtour.com/en/players/michal-konecny/k906/overview,CZE,183,1989.10.13,296,297,"Prostejov, Czech Republic",29,167
"Alicante, Spain",Right-Handed,Ruben Ramirez Hidalgo,163,http://www.atpworldtour.com/en/players/ruben-ramirez-hidalgo/r383/overview,ESP,183,1978.01.06,297,282,"Alicante, Spain",25,166
"Santana do Ipanema, Brazil","Right-Handed, Two-Handed Backhand",Jose Pereira,163,http://www.atpworldtour.com/en/players/jose-pereira/pc09/overview,BRA,180,1991.01.26,298,311,"Curitiba-Parana, Brazil",22,165
,,Yasutaka Uchiyama,,http://www.atpworldtour.com/en/players/yasutaka-uchiyama/u134/overview,JPN,,1992.08.05,299,299,"Right-Handed, Two-Handed Backhand",16,164
"Assam, India","Right-Handed, Two-Handed Backhand",Somdev Devvarman,160,http://www.atpworldtour.com/en/players/somdev-devvarman/d616/overview,IND,180,1985.02.13,300,303,"Charlottesville,VA, U.S.A.",17,162
"Mostar, Bosnia & Herzegovina",,Tomislav Brkic,170,http://www.atpworldtour.com/en/players/tomislav-brkic/be68/overview,BIH,185,1990.03.09,301,314,"Ljubuski, Bosnia & Herzegovina",27,161
"Creil, France","Right-Handed, Two-Handed Backhand",Maxime Janvier,187,http://www.atpworldtour.com/en/players/maxime-janvier/j620/overview,FRA,193,1996.10.18,302,304,"Gouvieux, France",27,161
"Sonthoffen, Germany","Right-Handed, One-Handed Backhand",Philip Bester,175,http://www.atpworldtour.com/en/players/philip-bester/bc68/overview,CAN,188,1988.10.06,303,310,"North Vancouver, Canada",22,160
"Prague, Czech Republic",Right-Handed,Marek Michalicka,163,http://www.atpworldtour.com/en/players/marek-michalicka/mf78/overview,CZE,183,1986.12.23,304,306,"Ricany, Czech Republic",31,160
"Rome, Italy",Right-Handed,Flavio Cipolla,163,http://www.atpworldtour.com/en/players/flavio-cipolla/c723/overview,ITA,173,1983.10.20,305,307,"Rome, Italy",16,159
"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Miki Jankovic,165,http://www.atpworldtour.com/en/players/miki-jankovic/j513/overview,SRB,180,1994.09.26,306,308,"Belgrade, Serbia",29,159
"Munich, Germany","Right-Handed, One-Handed Backhand",Jeremy Jahn,159,http://www.atpworldtour.com/en/players/jeremy-jahn/j400/overview,GER,178,1990.04.05,307,309,"Munich, Germany",16,158
,,Emilio Gomez,,http://www.atpworldtour.com/en/players/emilio-gomez/ga36/overview,ECU,,1991.11.28,308,325,Right-Handed,22,158
,,Connor Smith,,http://www.atpworldtour.com/en/players/connor-smith/sm38/overview,USA,,1990.12.19,309,263,"Right-Handed, Two-Handed Backhand",25,158
"Piestany, Slovakia","Right-Handed, Two-Handed Backhand",Filip Horansky,,http://www.atpworldtour.com/en/players/filip-horansky/ha28/overview,SVK,,1993.01.07,310,319,"Piestany, Slovakia",29,158
"Melbourne Victoria, Australia","Left-Handed, Two-Handed Backhand",Omar Jasika,132,http://www.atpworldtour.com/en/players/omar-jasika/j553/overview,AUS,180,1997.05.18,311,313,"Melbourne, Australia",18,155
,,Matt Reid,,http://www.atpworldtour.com/en/players/matt-reid/r977/overview,AUS,,1990.07.17,312,315,,18,154
"Torino, Italy",Gipo Arbino,Lorenzo Sonego,161,http://www.atpworldtour.com/en/players/lorenzo-sonego/su87/overview,ITA,,1995.05.11,313,317,"Right-Handed, Two-Handed Backhand",24,154
"Torrance, CA, USA","Right-Handed, Two-Handed Backhand",Jason Jung,150,http://www.atpworldtour.com/en/players/jason-jung/j380/overview,TPE,178,1989.06.15,314,225,"Torrance, CA, USA",27,154
,,Roberto Ortega-Olmedo,,http://www.atpworldtour.com/en/players/roberto-ortega-olmedo/o340/overview,ESP,,1991.04.30,315,318,,28,154
"Cape Town, South Africa","Right-Handed, Two-Handed Backhand",Lloyd George Harris,165,http://www.atpworldtour.com/en/players/lloyd-george-harris/hg86/overview,RSA,193,1997.02.24,316,316,"Cape Town, South Africa",21,153
"Haarlem, Netherlands","Right-Handed, Two-Handed Backhand",Scott Griekspoor,176,http://www.atpworldtour.com/en/players/scott-griekspoor/gc54/overview,NED,188,1991.01.10,317,321,"Nieuw Vennep, Netherlands",27,153
,,Agustin Velotti,,http://www.atpworldtour.com/en/players/agustin-velotti/v620/overview,ARG,,1992.05.24,318,292,Right-Handed,18,152
,,Nikola Mektic,,http://www.atpworldtour.com/en/players/nikola-mektic/mf09/overview,CRO,,1988.12.24,319,290,,19,152
"Riyadh, Saudi Arabia","Right-Handed, Two-Handed Backhand",Michael Mmoh,187,http://www.atpworldtour.com/en/players/michael-mmoh/mp01/overview,USA,185,1998.01.10,320,322,"Bradenton,Fl",15,151
"Adelaide, Australia","Right-Handed, Two-Handed Backhand",Lleyton Hewitt,134,http://www.atpworldtour.com/en/players/lleyton-hewitt/h432/overview,AUS,178,1981.02.24,321,324,"Nassau, Bahamas",7,150
"Sierre, Switzerland","Right-Handed, Two-Handed Backhand",Yann Marti,163,http://www.atpworldtour.com/en/players/yann-marti/mg54/overview,SUI,173,1988.06.07,322,326,"Venthone, Switzerland",21,150
"Busto Arsizio, Italy","Right-Handed, One-Handed Backhand",Roberto Marcora,194,http://www.atpworldtour.com/en/players/roberto-marcora/mj01/overview,ITA,193,1989.08.30,323,312,"Busto Arsizio, Italy",28,150
"Cincinnati, OH, U.S.A","Right-Handed, Two-Handed Backhand",Eric Quigley,185,http://www.atpworldtour.com/en/players/eric-quigley/q945/overview,USA,185,1989.01.30,324,338,"Louisville, KY, U.S.A",29,150
"Munich, Germany",Right-Handed,Matthias Bachinger,183,http://www.atpworldtour.com/en/players/matthias-bachinger/bc65/overview,GER,188,1987.04.02,325,333,"Munich, Germany",11,148
"Williamstown, Australia","Right-Handed, Two-Handed Backhand",Andrew Whittington,181,http://www.atpworldtour.com/en/players/andrew-whittington/w630/overview,AUS,188,1993.08.11,326,334,"Williamstown, Australia",16,148
Saudi Arabia,Right-Handed,Jimmy Wang,162,http://www.atpworldtour.com/en/players/jimmy-wang/w373/overview,TPE,180,1985.02.08,327,327,"Taipei, Chinese Taipei",19,148
"Plovdiv, Bulgaria","Right-Handed, Two-Handed Backhand",Dimitar Kuzmanov,159,http://www.atpworldtour.com/en/players/dimitar-kuzmanov/kc33/overview,BUL,183,1993.07.28,328,328,"Plovdiv, Bulgaria",21,148
,,Adrien Puget,,http://www.atpworldtour.com/en/players/adrien-puget/pd85/overview,FRA,,1991.03.04,329,329,,22,148
"Niagara Falls, Canada",Right-Handed,Frank Dancevic,175,http://www.atpworldtour.com/en/players/frank-dancevic/d499/overview,CAN,185,1984.09.26,330,320,"Niagara Falls, Canada",18,146
"Piotrkow Trybunalski, Poland","Right-Handed, Two-Handed Backhand",Kamil Majchrzak,163,http://www.atpworldtour.com/en/players/kamil-majchrzak/mq75/overview,POL,183,1996.01.13,331,302,"Piotrkow Trybunalski, Poland",18,145
"Buenos Aires, Argentina",Guillermo Rivas,Facundo Mena,187,http://www.atpworldtour.com/en/players/facundo-mena/mj98/overview,ARG,183,1992.09.22,332,331,"Right-Handed, One-Handed Backhand",26,145
"Santiago, Chile","Right-Handed, Two-Handed Backhand",Christian Garin,179,http://www.atpworldtour.com/en/players/christian-garin/gd64/overview,CHI,183,1996.05.30,333,341,"Santiago, Chile",23,144
"Dublin, Ireland","Right-Handed, Two-Handed Backhand",James McGee,176,http://www.atpworldtour.com/en/players/james-mcgee/mg47/overview,IRL,183,1987.06.10,334,269,"Dublin, Ireland",19,143
"Cincinnati,  OH, USA","Right-Handed, One-Handed Backhand",Peter Kobelt,200,http://www.atpworldtour.com/en/players/peter-kobelt/kc51/overview,USA,201,1990.11.17,335,337,"Columbus, OH/Tel Aviv, Israel",24,143
,,Gianluca Mager,,http://www.atpworldtour.com/en/players/gianluca-mager/ml57/overview,ITA,,1994.12.01,336,330,,26,141
"Tandil, Argentina","Right-Handed, Two-Handed Backhand",Juan Martin del Potro,214,http://www.atpworldtour.com/en/players/juan-martin-del-potro/d683/overview,ARG,198,1988.09.23,337,340,"Tandil, Argentina",5,140
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Hernan Casanova,168,http://www.atpworldtour.com/en/players/hernan-casanova/cg07/overview,ARG,178,1994.02.06,338,342,"Lomas de Zamora, Buenos Aires",27,140
"Masku, Finland","Left-Handed, Two-Handed Backhand",Jarkko Nieminen,172,http://www.atpworldtour.com/en/players/jarkko-nieminen/n289/overview,FIN,185,1981.07.23,339,344,"Masku, Finland",10,138
"Caringbah, Australia","Right-Handed, Two-Handed Backhand",Blake Mott,168,http://www.atpworldtour.com/en/players/blake-mott/mm79/overview,AUS,183,1996.04.21,340,345,"Melbourne, Australia",20,138
"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Danilo Petrovic,190,http://www.atpworldtour.com/en/players/danilo-petrovic/pe02/overview,SRB,203,1992.01.24,341,361,"Belgrade,Serbia",23,138
,,Maxim Dubarenco,,http://www.atpworldtour.com/en/players/maxim-dubarenco/da02/overview,BLR,,1993.06.24,342,347,,24,138
"Rio de Janeiro, Brazil","Right-Handed, One-Handed Backhand",Fernando Romboli,179,http://www.atpworldtour.com/en/players/fernando-romboli/r960/overview,BRA,180,1989.01.04,343,346,"Guaruja, Brazil",25,138
"Weingarten, Germany","Left-Handed, Two-Handed Backhand",Andreas Beck,196,http://www.atpworldtour.com/en/players/andreas-beck/ba86/overview,GER,191,1986.02.05,344,349,"Stuttgart, Germany",16,135
"Lyngby, Denmark",Right-Handed,Frederik Nielsen,183,http://www.atpworldtour.com/en/players/frederik-nielsen/n390/overview,DEN,191,1983.08.27,345,353,"Lyngby, Denmark",18,134
"Manta, Ecuador","Left-Handed, Two-Handed Backhand",Gonzalo Escobar,,http://www.atpworldtour.com/en/players/gonzalo-escobar/e661/overview,ECU,,1989.01.20,346,366,"Manta, Ecuador",22,134
,,Adrien Bossel,,http://www.atpworldtour.com/en/players/adrien-bossel/bf27/overview,SUI,,1986.12.28,347,351,,24,133
Pretoria,"Right-Handed, Two-Handed Backhand",Tucker Vorster,198,http://www.atpworldtour.com/en/players/tucker-vorster/v600/overview,RSA,196,1988.09.03,348,354,"Pretoria, South Africa",22,132
"Gent, Belgium",Right-Handed,Niels Desein,187,http://www.atpworldtour.com/en/players/niels-desein/d752/overview,BEL,191,1987.06.09,349,357,"Oostende, Belgium",29,132
,,Antal Van Der Duim,,http://www.atpworldtour.com/en/players/antal-van-der-duim/v494/overview,NED,,1987.09.16,350,355,The Netherlands,16,131
"Klaipeda, Lithuania","Right-Handed, Two-Handed Backhand",Laurynas Grigelis,161,http://www.atpworldtour.com/en/players/laurynas-grigelis/ga71/overview,LTU,183,1991.08.14,351,363,"Costa di Mezzate, Italy",21,131
,,Vaclav Safranek,176,http://www.atpworldtour.com/en/players/vaclav-safranek/sn77/overview,CZE,185,1994.05.20,352,375,,29,131
"Vercelli, Italy",Left-Handed,Erik Crepaldi,,http://www.atpworldtour.com/en/players/erik-crepaldi/ca62/overview,ITA,,1990.05.04,353,372,"Vercelli, Italy",31,131
,,Nicolas Meister,,http://www.atpworldtour.com/en/players/nicolas-meister/mg84/overview,USA,,1989.05.15,354,359,,21,130
,,Marco Bortolotti,,http://www.atpworldtour.com/en/players/marco-bortolotti/bh08/overview,ITA,,1991.01.21,355,389,,27,130
,Chris Lewis,Joshua Milton,,http://www.atpworldtour.com/en/players/joshua-milton/mh15/overview,GBR,,1989.10.14,356,350,Right-Handed,18,129
"Murray Bridge, Australia","Left-Handed, Two-Handed Backhand",Alex Bolt,185,http://www.atpworldtour.com/en/players/alex-bolt/bi81/overview,AUS,183,1993.01.05,357,362,"Murray Bridge, Australia",19,129
"Nimes, France","Right-Handed, Two-Handed Backhand",Maxime Hamou,165,http://www.atpworldtour.com/en/players/maxime-hamou/hb35/overview,FRA,185,1995.06.08,358,360,"Paris, France",21,127
,,Carlos Eduardo Severino,,http://www.atpworldtour.com/en/players/carlos-eduardo-severino/sk30/overview,BRA,,1990.12.05,359,364,,22,127
"Acqui Terme, Italy",Right-Handed,Edoardo Eremin,198,http://www.atpworldtour.com/en/players/edoardo-eremin/e766/overview,ITA,185,1993.10.05,360,365,"Cassine, Italy",22,126
"Vienna, Austria",,Riccardo Bellotti,,http://www.atpworldtour.com/en/players/riccardo-bellotti/bh76/overview,ITA,,1991.08.05,361,332,"Right-Handed, Two-Handed Backhand",26,126
"Glogow, Poland",Right-Handed,Michal Przysiezny,185,http://www.atpworldtour.com/en/players/michal-przysiezny/p701/overview,POL,185,1984.02.16,362,352,"Wroclaw, Poland",13,125
"Creteil, France","Right-Handed, Two-Handed Backhand",Sebastien Boltz,163,http://www.atpworldtour.com/en/players/sebastien-boltz/bj37/overview,FRA,178,1993.04.05,363,336,"Montbeliard, France",20,125
,,Sam Barry,,http://www.atpworldtour.com/en/players/sam-barry/bh22/overview,IRL,,1992.01.27,364,367,,32,125
"Mendoza, Argentina","Right-Handed, Two-Handed Backhand",Francisco Bahamonde,163,http://www.atpworldtour.com/en/players/francisco-bahamonde/bk68/overview,ITA,185,1996.11.07,365,368,"Mendoza, Argentina",13,124
,,Cheong-Eui Kim,,http://www.atpworldtour.com/en/players/cheong-eui-kim/k863/overview,KOR,,1990.03.23,366,358,Korea,18,124
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Juan Ignacio Galarza,167,http://www.atpworldtour.com/en/players/juan-ignacio-galarza/gd91/overview,ARG,183,1994.03.18,367,369,"Buenos Aires, Argentina",27,124
"Lisbon, Portugal",Right-Handed,Pedro Sousa,150,http://www.atpworldtour.com/en/players/pedro-sousa/s483/overview,POR,180,1988.05.27,368,392,"Lisbon, Portugal",16,123
,Right-Handed,Maxime Teixeira,165,http://www.atpworldtour.com/en/players/maxime-teixeira/t999/overview,FRA,188,1989.01.18,369,371,"Paris, France",21,123
,,Liang-Chi Huang,,http://www.atpworldtour.com/en/players/liang-chi-huang/ha03/overview,TPE,,1992.03.08,370,339,,26,123
"Ogulin, Croatia","Right-Handed, Two-Handed Backhand",Ante Pavic,212,http://www.atpworldtour.com/en/players/ante-pavic/pc78/overview,CRO,196,1989.03.07,371,373,"Zagreb, Croatia",14,122
,,Dzmitry Zhyrmont,,http://www.atpworldtour.com/en/players/dzmitry-zhyrmont/z248/overview,BLR,,1989.03.01,372,348,,16,122
"Bueckeburg, Germany","Right-Handed, Two-Handed Backhand",Daniel Masur,174,http://www.atpworldtour.com/en/players/daniel-masur/mn20/overview,GER,183,1994.11.06,373,378,"Munich, Germany",23,122
"San Francisco, CA, USA","Right-Handed, Two-Handed Backhand",Shuichi Sekiguchi,148,http://www.atpworldtour.com/en/players/shuichi-sekiguchi/sl92/overview,JPN,170,1991.07.15,374,408,"Kanagawa, Japan",15,121
"Jajce, Bosnia-Herzegovina","Right-Handed, Two-Handed Backhand",Marinko Matosevic,190,http://www.atpworldtour.com/en/players/marinko-matosevic/me05/overview,AUS,193,1985.08.08,375,376,"Melbourne, Australia",15,119
"Bytom, Poland","Right-Handed, Two-Handed Backhand",Peter Torebko,185,http://www.atpworldtour.com/en/players/peter-torebko/t911/overview,GER,185,1988.02.10,376,370,"Wesel, Germany",20,119
Redditch,"Right-Handed, Two-Handed Backhand",Lloyd Glasspool,187,http://www.atpworldtour.com/en/players/lloyd-glasspool/gd08/overview,GBR,191,1993.11.19,377,400,Birmingham,21,119
,,Dayne Kelly,,http://www.atpworldtour.com/en/players/dayne-kelly/ka22/overview,AUS,,1990.07.23,378,377,,18,118
"M\x1adling, Austria","Right-Handed, One-Handed Backhand",Pascal Brunner,165,http://www.atpworldtour.com/en/players/pascal-brunner/bf12/overview,AUT,180,1989.06.11,379,388,"Neufeld, Austria",24,118
"Bucharest, Romania","Right-Handed, One-Handed Backhand",Victor Hanescu,194,http://www.atpworldtour.com/en/players/victor-hanescu/h528/overview,ROU,198,1981.07.21,380,379,"Bucharest, Romania",11,117
"Bucaramanga, Colombia","Right-Handed, Two-Handed Backhand",Daniel Elahi Galan,159,http://www.atpworldtour.com/en/players/daniel-elahi-galan/ge33/overview,COL,191,1996.06.18,381,380,"Bogota, Colombia",18,117
"Caledon, South Africa","Right-Handed, Two-Handed Backhand",Nicolaas Scholtz,,http://www.atpworldtour.com/en/players/nicolaas-scholtz/sk41/overview,RSA,,1991.02.05,382,384,"Caledon, South Africa",18,117
"Toulouse, France","Right-Handed, One-Handed Backhand",Sadio Doumbia,174,http://www.atpworldtour.com/en/players/sadio-doumbia/d917/overview,FRA,185,1990.09.12,383,381,"Toulouse, France",21,117
,,Maverick Banes,,http://www.atpworldtour.com/en/players/maverick-banes/bh87/overview,AUS,,1992.04.10,384,382,,28,117
"Haarlem, The Netherlands","Right-Handed, One-Handed Backhand",Jesse Huta Galung,196,http://www.atpworldtour.com/en/players/jesse-huta-galung/h704/overview,NED,,1985.10.06,385,383,"Poortugaal, The Netherlands",15,116
"Tulln, Austria","Right-Handed, One-Handed Backhand",Lucas Miedler,170,http://www.atpworldtour.com/en/players/lucas-miedler/mo55/overview,AUT,180,1996.06.21,386,385,"Tulln, Austria",21,116
,,Germain Gigounon,161,http://www.atpworldtour.com/en/players/germain-gigounon/gb13/overview,BEL,178,1989.04.20,387,301,,23,115
"Evian-les-Bains, France","Right-Handed, One-Handed Backhand",Hugo Nys,170,http://www.atpworldtour.com/en/players/hugo-nys/n670/overview,FRA,183,1991.02.16,388,387,Monte-Carlo,21,115
"Kiev, Ukraine","Right-Handed, Two-Handed Backhand",Alex Kuznetsov,172,http://www.atpworldtour.com/en/players/alex-kuznetsov/k737/overview,USA,183,1987.02.05,389,390,"Tampa, FL, USA",16,113
,,Julien Cagnina,154,http://www.atpworldtour.com/en/players/julien-cagnina/cg32/overview,BEL,185,1994.06.04,390,391,"Right-Handed, Two-Handed Backhand",22,113
Roosendaal,"Right-Handed, One-Handed Backhand",Tim Van Rijthoven,198,http://www.atpworldtour.com/en/players/tim-van-rijthoven/v942/overview,NED,,1997.04.24,391,395,Roosendaal,13,112
"Chandigarh, India","Right-Handed, Two-Handed Backhand",Sanam Singh,147,http://www.atpworldtour.com/en/players/sanam-singh/sg33/overview,IND,175,1988.01.11,392,374,"Chandigarh, India",16,112
"Chicago, Illinois, USA",Left-Handed,Evan King,175,http://www.atpworldtour.com/en/players/evan-king/kb37/overview,USA,185,1992.03.25,393,401,"Chicago, Illinois, USA",23,112
,,Edward Corrie,,http://www.atpworldtour.com/en/players/edward-corrie/ca71/overview,GBR,,1988.02.21,394,399,,19,111
"Giza, Egypt","Right-Handed, Two-Handed Backhand",Karim-Mohamed Maamoun ,161,http://www.atpworldtour.com/en/players/karim-mohamed-maamoun/mj70/overview,EGY,175,1991.04.09,395,386,Egypt,24,111
"Río Cuarto, Córdoba","Right-Handed, Two-Handed Backhand",Patricio Heras,159,http://www.atpworldtour.com/en/players/patricio-heras/h924/overview,ARG,183,1989.01.21,396,396,"Buenos Aires, Argentina",21,110
